Year,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn
1995,"CRAB, SOUTHERN TANNER","6,650,785",3017.00,21498617.00,Public,Commercial,Chionoecetes bairdi,98429
1996,"CRAB, KING **","21,306,441",9665.00,64820705.00,Public,Commercial,Paralithodes,97934
1996,"CRAB, SNOW","64,363,158",29195.00,87949038.00,Public,Commercial,Chionoecetes opilio,98428
1996,"CRAB, SOUTHERN TANNER","3,715,663",1685.00,8681729.00,Public,Commercial,Chionoecetes bairdi,98429
1997,"CRAB, KING **","20,665,121",9374.00,57672941.00,Public,Commercial,Paralithodes,97934
1997,"CRAB, SNOW","117,179,683",53152.00,92337590.00,Public,Commercial,Chionoecetes opilio,98428
1997,"CRAB, SOUTHERN TANNER","1,812,413",822.00,3594961.00,Public,Commercial,Chionoecetes bairdi,98429
1998,"CRAB, KING **","23,722,639",10761.00,56212077.00,Public,Commercial,Paralithodes,97934
1998,"CRAB, SNOW","240,433,650",109060.00,135847412.00,Public,Commercial,Chionoecetes opilio,98428
1998,"CRAB, SOUTHERN TANNER","2,684,986",1218.00,5393753.00,Public,Commercial,Chionoecetes bairdi,98429
1999,"CRAB, KING **","16,919,447",7675.00,88073619.00,Public,Commercial,Paralithodes,97934
1999,"CRAB, SNOW","182,997,046",83007.00,161037400.00,Public,Commercial,Chionoecetes opilio,98428
1999,"CRAB, SOUTHERN TANNER","2,165,478",982.00,4745691.00,Public,Commercial,Chionoecetes bairdi,98429
2000,"CRAB, KING **","15,096,884",6848.00,61638849.00,Public,Commercial,Paralithodes,97934
2000,"CRAB, SNOW","32,810,551",14883.00,60535468.00,Public,Commercial,Chionoecetes opilio,98428
2000,"CRAB, SOUTHERN TANNER","1,686,069",765.00,4019160.00,Public,Commercial,Chionoecetes bairdi,98429
2001,"CRAB, KING **","16,051,074",7281.00,65556283.00,Public,Commercial,Paralithodes,97934
2001,"CRAB, SNOW","24,792,145",11246.00,38319216.00,Public,Commercial,Chionoecetes opilio,98428
2001,"CRAB, SOUTHERN TANNER","2,051,637",931.00,4256448.00,Public,Commercial,Chionoecetes bairdi,98429
2002,"CRAB, KING **","16,790,529",7616.00,84753384.00,Public,Commercial,Paralithodes,97934
2002,"CRAB, SNOW","31,936,016",14486.00,43976897.00,Public,Commercial,Chionoecetes opilio,98428
2002,"CRAB, SOUTHERN TANNER","1,301,644",590.00,2466904.00,Public,Commercial,Chionoecetes bairdi,98429
2003,"CRAB, KING **","22,886,056",10381.00,105454503.00,Public,Commercial,Paralithodes,97934
2003,"CRAB, SNOW","27,510,643",12479.00,50423551.00,Public,Commercial,Chionoecetes opilio,98428
2003,"CRAB, SOUTHERN TANNER","1,306,765",593.00,2855646.00,Public,Commercial,Chionoecetes bairdi,98429
2004,"CRAB, KING **","22,074,076",10013.00,93597078.00,Public,Commercial,Paralithodes,97934
2004,"CRAB, SNOW","23,687,517",10745.00,48635717.00,Public,Commercial,Chionoecetes opilio,98428
2004,"CRAB, SOUTHERN TANNER","1,520,871",690.00,3745171.00,Public,Commercial,Chionoecetes bairdi,98429
2005,"CRAB, KING **","23,938,929",10859.00,91042174.00,Public,Commercial,Paralithodes,97934
2005,"CRAB, SNOW","24,864,785",11279.00,42760967.00,Public,Commercial,Chionoecetes opilio,98428
2005,"CRAB, SOUTHERN TANNER","3,517,925",1596.00,6178904.00,Public,Commercial,Chionoecetes bairdi,98429
2006,"CRAB, KING **","21,641,434",9816.00,67060076.00,Public,Commercial,Paralithodes,97934
2006,"CRAB, SNOW","38,019,384",17245.00,30453809.00,Public,Commercial,Chionoecetes opilio,98428
2006,"CRAB, SOUTHERN TANNER","4,501,816",2042.00,6261550.00,Public,Commercial,Chionoecetes bairdi,98429
2007,"CRAB, KING **","25,938,834",11766.00,100153044.00,Public,Commercial,Paralithodes,97934
2007,"CRAB, SNOW","34,124,621",15479.00,54648880.00,Public,Commercial,Chionoecetes opilio,98428
2007,"CRAB, SOUTHERN TANNER","4,157,555",1886.00,7068564.00,Public,Commercial,Chionoecetes bairdi,98429
2008,"CRAB, KING **","27,217,618",12346.00,122777943.00,Public,Commercial,Paralithodes,97934
2008,"CRAB, SNOW","62,442,257",28324.00,106296177.00,Public,Commercial,Chionoecetes opilio,98428
2008,"CRAB, SOUTHERN TANNER","3,635,754",1649.00,6312073.00,Public,Commercial,Chionoecetes bairdi,98429
2009,"CRAB, KING **","22,390,526",10156.00,88591627.00,Public,Commercial,Paralithodes,97934
2009,"CRAB, SNOW","58,089,302",26349.00,81137926.00,Public,Commercial,Chionoecetes opilio,98428
2009,"CRAB, SOUTHERN TANNER","3,440,714",1561.00,5538626.00,Public,Commercial,Chionoecetes bairdi,98429
2010,"CRAB, KING **","24,041,460",10905.00,146094913.00,Public,Commercial,Paralithodes,97934
2010,"CRAB, SNOW","47,839,212",21700.00,62507867.00,Public,Commercial,Chionoecetes opilio,98428
2010,"CRAB, SOUTHERN TANNER","2,633,554",1195.00,4311296.00,Public,Commercial,Chionoecetes bairdi,98429
2011,"CRAB, KING **","16,996,850",7710.00,129286557.00,Public,Commercial,Paralithodes,97934
2011,"CRAB, SNOW","54,049,614",24517.00,137252235.00,Public,Commercial,Chionoecetes opilio,98428
2011,"CRAB, SOUTHERN TANNER","5,966,225",2706.00,16006150.00,Public,Commercial,Chionoecetes bairdi,98429
2012,"CRAB, KING **","16,356,921",7419.00,99888197.00,Public,Commercial,Paralithodes,97934
2012,"CRAB, SNOW","88,225,773",40019.00,190433965.00,Public,Commercial,Chionoecetes opilio,98428
2012,"CRAB, SOUTHERN TANNER","4,765,471",2162.00,12168557.00,Public,Commercial,Chionoecetes bairdi,98429
2013,"CRAB, KING **","15,433,171",7000.00,82869603.00,Public,Commercial,Paralithodes,97934
2013,"CRAB, SNOW","65,487,422",29705.00,132369655.00,Public,Commercial,Chionoecetes opilio,98428
2013,"CRAB, SOUTHERN TANNER","3,449,261",1565.00,8106713.00,Public,Commercial,Chionoecetes bairdi,98429
2014,"CRAB, KING **","16,654,062",7554.00,85535158.00,Public,Commercial,Paralithodes,97934
2014,"CRAB, SNOW","53,796,368",24402.00,115365728.00,Public,Commercial,Chionoecetes opilio,98428
2014,"CRAB, SOUTHERN TANNER","9,306,963",4222.00,20874508.00,Public,Commercial,Chionoecetes bairdi,98429
2015,"CRAB, KING **","16,296,362",7392.00,107904204.00,Public,Commercial,Paralithodes,97934
2015,"CRAB, SNOW","60,911,842",27629.00,124614335.00,Public,Commercial,Chionoecetes opilio,98428
2015,"CRAB, SOUTHERN TANNER","16,430,059",7453.00,35595660.00,Public,Commercial,Chionoecetes bairdi,98429
2016,"CRAB, KING **","14,578,841",6613.00,104600500.00,Public,Commercial,Paralithodes,97934
2016,"CRAB, SNOW","39,573,607",17950.00,79923729.00,Public,Commercial,Chionoecetes opilio,98428
2016,"CRAB, SOUTHERN TANNER","11,770,447",5339.00,25938972.00,Public,Commercial,Chionoecetes bairdi,98429
2017,"CRAB, KING **","12,890,338",5847.00,89537303.00,Public,Commercial,Paralithodes,97934
2017,"CRAB, SNOW","21,319,734",9671.00,69063942.00,Public,Commercial,Chionoecetes opilio,98428
2017,"CRAB, SOUTHERN TANNER","2,392,195",1085.00,7900942.00,Public,Commercial,Chionoecetes bairdi,98429
2018,"CRAB, KING **","11,169,792",5067.00,82103813.00,Public,Commercial,Paralithodes,97934
2018,"CRAB, SNOW","18,839,294",8545.00,71239438.00,Public,Commercial,Chionoecetes opilio,98428
